i,j,date1
1,148,20120225
1,150,20110916
1,150,20110928
1,150,20110930
1,150,20111014
1,150,20111117
1,150,20111208
1,150,20120208
1,150,20120308
1,150,20120309
1,150,20120415
2,21,20120118
2,21,20120414
2,30,20120211
2,68,20110911
2,68,20110912
2,68,20110919
2,68,20111029
2,68,20111104
2,68,20111105
2,68,20111116
2,68,20111129
2,68,20111211
2,68,20111225
2,68,20120101
2,68,20120226
2,68,20120308
2,100,20110902
2,100,20110903
2,100,20110908
2,100,20110909
2,100,20110912
2,113,20120205
2,140,20111019
2,140,20111020
2,140,20111123
2,140,20111215
2,140,20111216
3,4,20110829
3,4,20110908
3,4,20110909
3,4,20110910
3,4,20110918
3,4,20111108
3,4,20111116
3,4,20111117
3,48,20110904
3,146,20111017
3,146,20111018
3,146,20111029
3,146,20111105
3,146,20111112
3,146,20111113
3,146,20111124
3,146,20111202
3,180,20111017
3,180,20111020
3,187,20110822
3,187,20110823
3,187,20110826
3,187,20110827
3,187,20111029
3,187,20111102
3,187,20111116
4,3,20110829
4,3,20110908
4,3,20110909
4,3,20110910
4,3,20110918
4,3,20111108
4,3,20111116
4,3,20111117
4,5,20110821
4,5,20110822
4,5,20110824
4,5,20110825
4,5,20110828
4,5,20110829
4,5,20110901
4,5,20110902
4,5,20110903
4,5,20110908
4,5,20110910
4,5,20110912
4,5,20110914
4,5,20110921
4,5,20110923
4,5,20110925
4,5,20111006
4,5,20111007
4,5,20111010
4,5,20111016
4,5,20111017
4,5,20111018
4,5,20111019
4,5,20111020
4,5,20111102
4,5,20111111
4,5,20111113
4,5,20111114
4,5,20111122
4,5,20111128
4,5,20111207
4,5,20111211
4,5,20111213
4,5,20111225
4,5,20120108
4,5,20120120
4,5,20120123
4,5,20120125
4,5,20120127
4,5,20120201
4,5,20120202
4,5,20120203
4,5,20120207
4,5,20120208
4,5,20120209
4,5,20120210
4,5,20120213
4,5,20120214
4,5,20120215
4,5,20120216
4,5,20120220
4,5,20120221
4,5,20120222
4,5,20120226
4,5,20120301
4,5,20120305
4,5,20120306
4,5,20120307
4,5,20120308
4,5,20120309
4,5,20120310
4,5,20120313
4,5,20120314
4,5,20120428
4,5,20120429
4,5,20120501
4,5,20120511
4,5,20120512
4,8,20110828
4,8,20110829
4,8,20110910
4,8,20110919
4,8,20110923
4,8,20111225
4,8,20120503
4,30,20110826
4,30,20110829
4,30,20110830
4,30,20110906
4,30,20110907
4,30,20110909
4,30,20110910
4,30,20110920
4,30,20110921
4,30,20110922
4,30,20110923
4,30,20110925
4,30,20110930
4,30,20111003
4,30,20111006
4,30,20111010
4,30,20111014
4,30,20111016
4,30,20111022
4,30,20111023
4,30,20111026
4,30,20111027
4,30,20111031
4,30,20111102
4,30,20111111
4,30,20111112
4,30,20111115
4,30,20111122
4,30,20111225
4,30,20120127
4,30,20120130
4,30,20120202
4,30,20120210
4,30,20120213
4,30,20120223
4,30,20120302
4,30,20120304
4,30,20120308
4,30,20120309
4,30,20120318
4,30,20120319
4,30,20120322
4,30,20120323
4,30,20120325
4,30,20120326
4,30,20120327
4,30,20120328
4,30,20120329
4,30,20120402
4,30,20120403
4,30,20120405
4,30,20120406
4,30,20120407
4,30,20120408
4,30,20120409
4,30,20120411
4,30,20120412
4,30,20120413
4,30,20120414
4,30,20120417
4,30,20120418
4,30,20120421
4,30,20120422
4,30,20120423
4,30,20120428
4,30,20120501
4,30,20120502
4,31,20110929
4,44,20110911
4,44,20110913
4,44,20110920
4,44,20110923
4,87,20110930
4,87,20111009
4,98,20110821
4,98,20110822
4,98,20110823
4,98,20110825
4,98,20110826
4,98,20110827
4,98,20110828
4,98,20110829
4,98,20110830
4,98,20110901
4,98,20110903
4,98,20110904
4,98,20110905
4,98,20110907
4,98,20110908
4,98,20110909
4,98,20110910
4,98,20110911
4,98,20110912
4,98,20110916
4,98,20110917
4,98,20110918
4,98,20110920
4,98,20110923
4,98,20110929
4,98,20110930
4,98,20111001
4,98,20111002
4,98,20111004
4,98,20111005
4,98,20111006
4,98,20111013
4,98,20111022
4,98,20111026
4,98,20111030
4,98,20111101
4,98,20111103
4,98,20111104
4,98,20111106
4,98,20111107
4,98,20111111
4,98,20111113
4,98,20111118
4,98,20111121
4,98,20111123
4,98,20111126
4,98,20111130
4,98,20111207
4,98,20111211
4,98,20111213
4,98,20111216
4,98,20111225
4,98,20111230
4,98,20120102
4,98,20120104
4,98,20120105
4,98,20120106
4,98,20120107
4,98,20120108
4,98,20120110
4,98,20120111
4,98,20120112
4,98,20120113
4,98,20120115
4,98,20120116
4,98,20120127
4,98,20120130
4,98,20120202
4,98,20120208
4,98,20120211
4,98,20120218
4,98,20120225
4,98,20120305
4,98,20120321
4,98,20120329
4,98,20120405
4,98,20120407
4,98,20120408
4,98,20120412
4,98,20120413
4,98,20120420
4,98,20120508
4,98,20120509
4,98,20120511
4,105,20110821
4,105,20110822
4,105,20110823
4,146,20111030
4,146,20120120
4,146,20120121
4,146,20120122
4,146,20120201
4,146,20120204
4,146,20120207
4,146,20120210
4,146,20120211
4,146,20120213
4,146,20120215
4,146,20120216
4,146,20120220
4,146,20120301
4,146,20120309
4,146,20120318
4,146,20120319
4,146,20120325
4,146,20120326
4,146,20120327
4,146,20120328
4,146,20120329
4,146,20120402
4,146,20120406
4,146,20120414
4,146,20120416
4,146,20120417
4,146,20120418
4,146,20120420
4,146,20120421
4,146,20120422
4,146,20120423
4,146,20120428
4,146,20120430
4,146,20120501
4,146,20120502
4,146,20120503
4,152,20111009
4,152,20111010
4,152,20111011
4,152,20111012
4,152,20111013
4,152,20111024
4,152,20111025
4,152,20111026
4,152,20111101
4,152,20111102
4,152,20111104
4,152,20111105
4,152,20111107
4,152,20111108
4,152,20111109
4,152,20111110
4,152,20111111
4,152,20111112
4,152,20111113
4,152,20111115
4,152,20111130
4,159,20110829
4,159,20110905
4,159,20110909
4,159,20110910
4,159,20110911
4,159,20111010
4,159,20111019
4,159,20111021
4,159,20111022
4,159,20111023
4,159,20111215
4,159,20111225
4,159,20120125
4,159,20120126
4,159,20120208
4,159,20120213
4,159,20120214
4,159,20120215
4,159,20120216
4,159,20120218
4,159,20120310
4,159,20120317
4,159,20120406
4,159,20120407
4,159,20120425
4,180,20110901
4,180,20110904
4,180,20110908
4,180,20110910
4,180,20111017
4,180,20111018
4,180,20111225
4,180,20120314
4,187,20110829
4,187,20111018
4,187,20111101
4,187,20111111
4,187,20111119
4,187,20111122
4,187,20111123
4,187,20111124
4,187,20111129
4,187,20111130
4,187,20111202
4,187,20111203
4,187,20111204
4,187,20111206
4,187,20111207
4,187,20111208
4,187,20111209
4,187,20120120
4,187,20120212
4,187,20120219
4,194,20110927
4,194,20111010
4,194,20111219
5,4,20110822
5,4,20110824
5,4,20110825
5,4,20110826
5,4,20110827
5,4,20110828
5,4,20110829
5,4,20110830
5,4,20110831
5,4,20110901
5,4,20110902
5,4,20110903
5,4,20110904
5,4,20110907
5,4,20110910
5,4,20110913
5,4,20110914
5,4,20110921
5,4,20110925
5,4,20110928
5,4,20111006
5,4,20111007
5,4,20111008
5,4,20111010
5,4,20111015
5,4,20111016
5,4,20111017
5,4,20111019
5,4,20111020
5,4,20111111
5,4,20111113
5,4,20111114
5,4,20111117
5,4,20111122
5,4,20111128
5,4,20111207
5,4,20111211
5,4,20111225
5,4,20120108
5,4,20120109
5,4,20120120
5,4,20120123
5,4,20120125
5,4,20120127
5,4,20120201
5,4,20120203
5,4,20120207
5,4,20120208
5,4,20120209
5,4,20120210
5,4,20120211
5,4,20120213
5,4,20120214
5,4,20120215
5,4,20120216
5,4,20120218
5,4,20120220
5,4,20120221
5,4,20120222
5,4,20120224
5,4,20120226
5,4,20120227
5,4,20120228
5,4,20120301
5,4,20120305
5,4,20120306
5,4,20120307
5,4,20120308
5,4,20120310
5,4,20120313
5,4,20120314
5,4,20120322
5,4,20120328
5,4,20120415
5,4,20120427
5,4,20120428
5,4,20120429
5,4,20120501
5,4,20120509
5,4,20120511
5,4,20120512
5,44,20110910
5,44,20110913
5,44,20111028
5,65,20120418
5,92,20110826
5,92,20110902
5,98,20111004
5,98,20111028
5,98,20111201
5,98,20111203
5,98,20120223
5,104,20111008
5,105,20111013
5,105,20120325
5,105,20120327
5,105,20120511
5,106,20110903
5,106,20110904
5,106,20110910
5,106,20111124
5,107,20110824
5,107,20110825
5,107,20110826
5,107,20110827
5,107,20110828
5,107,20110829
5,107,20110830
5,107,20110831
5,107,20110901
5,107,20110902
5,107,20110903
5,107,20110904
5,107,20110905
5,107,20110906
5,107,20110907
5,107,20110908
5,107,20110909
5,107,20110910
5,107,20110911
5,107,20110912
5,107,20110913
5,107,20110914
5,107,20110915
5,107,20110916
5,107,20110917
5,107,20110918
5,107,20110919
5,107,20110920
5,107,20110921
5,107,20110922
5,107,20110923
5,107,20110925
5,107,20110926
5,107,20110928
5,107,20110929
5,107,20110930
5,107,20111001
5,107,20111002
5,107,20111003
5,107,20111004
5,107,20111005
5,107,20111006
5,107,20111007
5,107,20111008
5,107,20111009
5,107,20111010
5,107,20111011
5,107,20111012
5,107,20111013
5,107,20111014
5,107,20111015
5,107,20111016
5,107,20111019
5,107,20111020
5,107,20111022
5,107,20111023
5,107,20111024
5,107,20111027
5,107,20111028
5,107,20111029
5,107,20111030
5,107,20111031
5,107,20111101
5,107,20111102
5,107,20111103
5,107,20111104
5,107,20111105
5,107,20111106
5,107,20111107
5,107,20111108
5,107,20111109
5,107,20111110
5,107,20111111
5,107,20111112
5,107,20111113
5,107,20111114
5,107,20111115
5,107,20111116
5,107,20111117
5,107,20111118
5,107,20111119
5,107,20111120
5,107,20111121
5,107,20111122
5,107,20111123
5,107,20111124
5,107,20111125
5,107,20111126
5,107,20111127
5,107,20111128
5,107,20111129
5,107,20111130
5,107,20111201
5,107,20111202
5,107,20111203
5,107,20111204
5,107,20111205
5,107,20111206
5,107,20111207
5,107,20111208
5,107,20111209
5,107,20111210
5,107,20111211
5,107,20111212
5,107,20111213
5,107,20111214
5,107,20111215
5,107,20111216
5,107,20111217
5,107,20111225
5,107,20120103
5,107,20120108
5,107,20120116
5,107,20120117
5,107,20120118
5,107,20120119
5,107,20120120
5,107,20120121
5,107,20120122
5,107,20120123
5,107,20120124
5,107,20120125
5,107,20120127
5,107,20120128
5,107,20120129
5,107,20120130
5,107,20120131
5,107,20120201
5,107,20120202
5,107,20120203
5,107,20120204
5,107,20120205
5,107,20120206
5,107,20120210
5,107,20120211
5,107,20120213
5,107,20120214
5,107,20120215
5,107,20120216
5,107,20120217
5,107,20120218
5,107,20120219
5,107,20120220
5,107,20120221
5,107,20120222
5,107,20120223
5,107,20120224
5,107,20120226
5,107,20120227
5,107,20120228
5,107,20120301
5,107,20120302
5,107,20120303
5,107,20120306
5,107,20120308
5,107,20120309
5,107,20120310
5,107,20120318
5,107,20120319
5,107,20120320
5,107,20120321
5,107,20120323
5,107,20120324
5,107,20120325
5,107,20120326
5,107,20120329
5,107,20120330
5,107,20120331
5,107,20120401
5,107,20120407
5,107,20120408
5,107,20120409
5,107,20120410
5,107,20120411
5,107,20120413
5,107,20120414
5,107,20120415
5,107,20120416
5,107,20120417
5,107,20120419
5,107,20120422
5,107,20120423
5,107,20120424
5,107,20120425
5,107,20120426
5,107,20120429
5,107,20120430
5,107,20120502
5,107,20120503
5,107,20120504
5,107,20120505
5,107,20120506
5,107,20120507
5,107,20120508
5,107,20120509
5,107,20120510
5,107,20120511
5,107,20120512
5,114,20120316
5,114,20120317
5,146,20110901
5,146,20110902
5,146,20110913
5,146,20110914
5,146,20110915
5,146,20110919
5,146,20110921
5,146,20111001
5,146,20111002
5,146,20111003
5,146,20111004
5,146,20111006
5,146,20111007
5,146,20111008
5,146,20111010
5,146,20111011
5,146,20111012
5,146,20111013
5,146,20111015
5,146,20111017
5,146,20111018
5,146,20111019
5,146,20111020
5,146,20111021
5,146,20111023
5,146,20111024
5,146,20111027
5,146,20111028
5,146,20111031
5,146,20111102
5,146,20111104
5,146,20111106
5,146,20111107
5,146,20111112
5,146,20111114
5,146,20111118
5,146,20111119
